#Transcript position	Transcript coverage profile
0.0	18341.44777180391
1.0	20658.473769342356
2.0	30346.058890084147
3.0	32840.37766692699
4.0	35604.238766171904
5.0	35470.83068050779
6.0	34035.51541810182
7.0	32931.50326233497
8.0	34137.93882536556
9.0	35305.18974439722
10.0	35985.48654875405
11.0	40813.90093830592
12.0	45742.21712282577
13.0	49286.114846138094
14.0	51422.41943126626
15.0	51884.40360074273
16.0	54000.62743530254
17.0	57213.83431256922
18.0	58883.01677938289
19.0	59330.11351274489
20.0	59396.75112528771
21.0	59027.4966624201
22.0	60064.81745179197
23.0	62650.68980429609
24.0	66167.79797960422
25.0	67864.2797223001
26.0	66550.78160104805
27.0	65359.125252579215
28.0	64931.668120181734
29.0	64242.10159603445
30.0	65452.14882648818
31.0	68195.80830720339
32.0	70798.54056120547
33.0	72298.1608700344
34.0	74403.08354845185
35.0	74170.3674093851
36.0	73145.34162080409
37.0	73162.01091608939
38.0	71417.04298824846
39.0	72188.75493900309
40.0	74959.95244106452
41.0	76054.41169822059
42.0	76252.80709224727
43.0	75838.92265940714
44.0	74519.95512080318
45.0	74285.00587792223
46.0	75658.32986981202
47.0	77195.07980825707
48.0	78963.07703142663
49.0	78636.53334160362
50.0	77398.9729938721
51.0	76565.60311563867
52.0	75629.64138444327
53.0	74652.5911396555
54.0	73249.43923748244
55.0	71056.74856677618
56.0	68710.32835428153
57.0	66182.0006834894
58.0	65673.32634713802
59.0	64773.28107089523
60.0	65727.8115151111
61.0	66600.97536500532
62.0	67271.41587991816
63.0	68849.08087161362
64.0	68287.84029539168
65.0	64770.642717298564
66.0	62162.349242490825
67.0	61864.47608538161
68.0	63673.89682162356
69.0	65073.589652146926
70.0	65660.25024291415
71.0	66492.01157046773
72.0	67122.16517144724
73.0	67277.52153850225
74.0	64840.08119209999
75.0	62304.3181811869
76.0	58652.10891571963
77.0	54170.53012431755
78.0	52017.130588968066
79.0	52387.195590337236
80.0	51809.32391573107
81.0	52549.87131206472
82.0	53468.06775860318
83.0	55890.5675957067
84.0	59055.83258001076
85.0	59471.33162759649
86.0	59065.13084738868
87.0	57752.41836346294
88.0	55905.942000345254
89.0	53628.65853722246
90.0	50960.81369978835
91.0	48069.29643949906
92.0	43723.02605582331
93.0	38846.01055461837
94.0	35537.556480813924
95.0	29441.036140619806
96.0	20414.64270162683
97.0	14714.655032357967
98.0	10287.9661760601
99.0	2994.4918933994927
