#Transcript position	Transcript coverage profile
0.0	194393.32408469243
1.0	194469.3948646341
2.0	214340.8822629648
3.0	234264.76227200596
4.0	259761.29434989748
5.0	284619.15733046236
6.0	310084.197095626
7.0	333493.3848668207
8.0	356860.9607182183
9.0	381840.3844771712
10.0	404751.2887155037
11.0	427649.3305773448
12.0	450132.3303978942
13.0	470214.6467190958
14.0	485917.50286047393
15.0	498876.6367251463
16.0	512229.701544568
17.0	530989.250797107
18.0	545506.9958169931
19.0	557278.6583966243
20.0	568614.3612438644
21.0	578870.4938088186
22.0	587556.9171924226
23.0	597685.0320304261
24.0	605614.2974879876
25.0	612322.1090003022
26.0	617339.9630729823
27.0	619554.8993293879
28.0	623813.247234524
29.0	627143.522966913
30.0	632516.273861061
31.0	638101.4787342204
32.0	642873.6396677498
33.0	645409.9789617406
34.0	651461.3098690109
35.0	655033.049505583
36.0	654711.6714392732
37.0	654618.6256291395
38.0	653223.7562591846
39.0	656332.2706473817
40.0	661675.7151690001
41.0	662137.0314568705
42.0	662472.3208734663
43.0	661515.3362006333
44.0	659304.8684696967
45.0	658549.2214173567
46.0	658477.407114713
47.0	658670.9847710237
48.0	659307.5298801115
49.0	656616.4423587645
50.0	651267.237919866
51.0	649817.9018192962
52.0	649897.967208201
53.0	649883.7705713229
54.0	649890.5104191885
55.0	645504.5668442439
56.0	638976.2281136649
57.0	634352.1798884479
58.0	632703.0380107358
59.0	630567.5253437306
60.0	631344.7328103187
61.0	631655.362424557
62.0	632069.5943135272
63.0	633578.4409323449
64.0	631972.2959981768
65.0	625828.5225371446
66.0	619759.1866231393
67.0	617333.2407373515
68.0	616547.7710858561
69.0	614296.8839950974
70.0	613527.4146351925
71.0	612658.7023622819
72.0	611220.9228975823
73.0	609104.4179848557
74.0	603510.0059120903
75.0	597409.8420557118
76.0	591488.1985952627
77.0	584235.0672522195
78.0	579543.95698423
79.0	576635.9171405537
80.0	574525.6834300319
81.0	573336.8201507794
82.0	571065.9023182453
83.0	569457.2682087008
84.0	566863.760251396
85.0	562969.6115972124
86.0	557183.3602513932
87.0	548596.0103420964
88.0	535491.0851554248
89.0	519915.43306095415
90.0	499971.62621181534
91.0	477636.34996181005
92.0	451497.809797049
93.0	420954.20811830583
94.0	386291.00012000126
95.0	340173.40986455965
96.0	278997.97743445897
97.0	206261.27631023325
98.0	124287.28865562216
99.0	38731.58477498278
