#Transcript position	Transcript coverage profile
0.0	237557.35368396353
1.0	237309.92156986013
2.0	261803.0715175527
3.0	285219.6451135108
4.0	315695.62487333326
5.0	345651.7687984275
6.0	377147.7228971977
7.0	405794.4766559216
8.0	434416.31846690056
9.0	465075.1513458547
10.0	493504.38777851
11.0	522454.69941131
12.0	550785.2373327243
13.0	576285.1334795663
14.0	595874.9811606288
15.0	612300.9462706972
16.0	629706.8441311534
17.0	654030.121555183
18.0	672381.3218700343
19.0	687269.2324295024
20.0	701859.6845381017
21.0	715057.3017671634
22.0	726046.450450551
23.0	739097.2978171301
24.0	749401.8533601387
25.0	758019.7356541429
26.0	764633.1618696757
27.0	767762.5275734348
28.0	773638.9719212332
29.0	778142.6161514095
30.0	785337.0208969502
31.0	793044.6501160918
32.0	799469.5143491887
33.0	802999.6331579684
34.0	810959.3263991075
35.0	815720.2145231818
36.0	815606.5135722064
37.0	816267.4031413911
38.0	815046.9265862345
39.0	819521.167069839
40.0	826348.8370792338
41.0	827014.8308244975
42.0	827683.4249606318
43.0	826830.7717163403
44.0	824150.543059106
45.0	823443.058806625
46.0	823542.3216365279
47.0	823824.9495761273
48.0	825050.6283394268
49.0	821940.881094754
50.0	815267.6374339667
51.0	813231.8188645516
52.0	813218.3109910167
53.0	812802.5235400955
54.0	812833.4438962376
55.0	807391.087359089
56.0	799288.9152201484
57.0	793532.627062203
58.0	791518.7229794626
59.0	788679.3675329617
60.0	789688.7644484421
61.0	790408.3695784627
62.0	791459.7177748727
63.0	793239.8473788839
64.0	790836.6378587162
65.0	783060.9069196581
66.0	775623.193759206
67.0	772626.7971384922
68.0	771862.3944482727
69.0	768876.3860157
70.0	767804.9659929828
71.0	766746.4700432832
72.0	764714.6208886296
73.0	761685.4886872849
74.0	753968.2164404509
75.0	745829.0763523548
76.0	737763.5127846521
77.0	727673.9499609959
78.0	721374.1073349211
79.0	717450.0305385565
80.0	715032.7535584538
81.0	713842.7149343576
82.0	710980.210574628
83.0	709001.3817064167
84.0	705974.2508615948
85.0	701365.773259148
86.0	694279.9013226131
87.0	683860.8940153104
88.0	668038.9066285912
89.0	648727.571588637
90.0	623856.8405365298
91.0	595783.3699004976
92.0	563036.2952160802
93.0	524550.1183953556
94.0	481502.11739688675
95.0	424289.69174392876
96.0	347828.0633374281
97.0	257341.5123075182
98.0	155445.10736710043
99.0	48522.36794901765
