#Transcript position	Transcript coverage profile
0.0	10723.472319348113
1.0	11511.058073214523
2.0	17419.8464550827
3.0	19342.22995654214
4.0	21310.99503751122
5.0	20621.947279913904
6.0	20591.922157221175
7.0	20273.82228819381
8.0	21728.932309461306
9.0	23149.373567796265
10.0	23854.35177400252
11.0	28681.52294726006
12.0	34711.92877695456
13.0	39481.380486827824
14.0	41324.422174488456
15.0	41735.54424185238
16.0	43898.63230491646
17.0	47770.27066008507
18.0	51125.54414075782
19.0	52584.23488838114
20.0	54114.012440323764
21.0	55181.313711119765
22.0	56339.324222297495
23.0	57737.523815836736
24.0	57916.95145105343
25.0	58481.553933104056
26.0	59089.67799033607
27.0	58481.602117654365
28.0	57529.08991281215
29.0	57814.860143608304
30.0	57989.61842290705
31.0	58534.44139690523
32.0	59816.63995527152
33.0	60332.417521165306
34.0	61350.01672895541
35.0	62013.784382905375
36.0	61373.53228457416
37.0	61339.03200970233
38.0	62596.48027580223
39.0	62638.285564773294
40.0	64338.71128370194
41.0	65923.11433369333
42.0	66321.15342818732
43.0	65936.75841257932
44.0	66129.9131921568
45.0	66109.48616760048
46.0	65998.06762266775
47.0	66735.73570780565
48.0	69891.01766774291
49.0	70076.38794576906
50.0	69092.47579100908
51.0	68096.95101925424
52.0	66640.60099672263
53.0	65400.75457360643
54.0	64257.73342272042
55.0	62959.84047363757
56.0	61318.35170411953
57.0	60351.20143392968
58.0	59545.34751648301
59.0	59506.62853220346
60.0	60835.3121201744
61.0	62163.81907362663
62.0	63620.2945775046
63.0	64501.81529430999
64.0	64038.01165537755
65.0	62384.882899414755
66.0	60748.71731171505
67.0	61044.144311884345
68.0	62827.8283582202
69.0	65096.72359453839
70.0	67026.78784389782
71.0	68466.86488523171
72.0	69020.8727762729
73.0	68650.02363386723
74.0	67179.6013665071
75.0	66374.35980477763
76.0	63872.85696369597
77.0	60613.13313437922
78.0	59095.36332836626
79.0	57963.78326226827
80.0	56913.2194250275
81.0	56938.531145793975
82.0	54932.15758822583
83.0	52622.809393527205
84.0	50292.283691356686
85.0	48588.477598375874
86.0	47812.76287826948
87.0	47348.85948550192
88.0	47685.473932796434
89.0	47237.343054349076
90.0	45630.38201766302
91.0	42936.45785676987
92.0	40109.74918097254
93.0	37043.37381563585
94.0	34189.66070951383
95.0	29792.733178445418
96.0	20264.43682947214
97.0	14501.405367105128
98.0	10149.535383551342
99.0	3089.403507697672
