#Transcript position	Transcript coverage profile
0.0	14505.166363008706
1.0	18098.03005417631
2.0	25304.903525944137
3.0	25374.710392029567
4.0	27271.766941523543
5.0	25602.631997213964
6.0	26292.050925261134
7.0	25105.797955772603
8.0	25505.631348854808
9.0	27036.26114503128
10.0	29366.441442534473
11.0	33947.08669918722
12.0	40675.635313580315
13.0	45822.17734530135
14.0	48100.1477844227
15.0	49021.9707986098
16.0	50315.78498709903
17.0	55423.82465474278
18.0	59359.56280871337
19.0	60604.195665397965
20.0	60608.468340594874
21.0	62166.019194842265
22.0	63626.843368027825
23.0	64055.55198191925
24.0	62946.69351307268
25.0	62726.33363495797
26.0	62946.5919118035
27.0	61807.859441743145
28.0	59930.880272971095
29.0	59927.909103465405
30.0	61470.88086242359
31.0	62326.66104285283
32.0	64445.387619566405
33.0	65349.51521703972
34.0	67500.50338493509
35.0	69375.98986590041
36.0	68126.33950965926
37.0	66727.99548660376
38.0	64983.36619540881
39.0	64939.17479312194
40.0	62896.25592731391
41.0	63105.84856507502
42.0	63609.85732724197
43.0	63974.852302949395
44.0	64052.12130978848
45.0	65098.968409901085
46.0	66431.45580064753
47.0	67202.30781210834
48.0	69966.75204890585
49.0	70158.45224124573
50.0	69073.35324823356
51.0	66878.69748180611
52.0	64197.80081595299
53.0	63229.84532382754
54.0	62489.39634469224
55.0	61437.270341280084
56.0	59380.95812865455
57.0	59024.99784585359
58.0	58349.7402079704
59.0	59788.44814941202
60.0	62373.911811928956
61.0	63763.44481729631
62.0	64037.720618950596
63.0	64476.805158924864
64.0	62288.429324822
65.0	59695.67648727718
66.0	57412.721313624126
67.0	55742.653384603786
68.0	55665.24165464289
69.0	56483.92062915516
70.0	56972.310544721906
71.0	57103.92583562973
72.0	57132.903942164594
73.0	57198.91725851438
74.0	55017.041632791144
75.0	52740.57796803649
76.0	48787.051969096006
77.0	46040.13845567106
78.0	45314.92967323312
79.0	45389.58938674584
80.0	44470.61108303204
81.0	44639.88824220914
82.0	42931.65095632942
83.0	41009.98024188047
84.0	39624.012882442636
85.0	39031.693976293296
86.0	39306.64336246629
87.0	39449.32710795347
88.0	39631.55277331117
89.0	38475.600892032075
90.0	36894.79259790884
91.0	35488.87047951495
92.0	33710.409059947786
93.0	31470.96274997769
94.0	30108.823963013525
95.0	26839.83817512046
96.0	18872.4143837985
97.0	13934.362959120368
98.0	9961.253243967943
99.0	2953.2621295407207
