#Transcript position	Transcript coverage profile
0.0	192744.69479305833
1.0	190359.3543727943
2.0	207805.02396922527
3.0	226671.97558073266
4.0	252257.50357569443
5.0	276981.01076377166
6.0	306730.9609846427
7.0	331709.56390001794
8.0	355644.14227818616
9.0	381089.05822665006
10.0	405067.742227218
11.0	429370.04255488777
12.0	453399.3624339039
13.0	474475.36657115404
14.0	490366.8791904562
15.0	504142.1832981596
16.0	516733.84627318854
17.0	536326.6569809167
18.0	552890.5547526391
19.0	566097.3718898427
20.0	578134.1017050735
21.0	589225.4319743196
22.0	598314.6968713057
23.0	606146.4433071876
24.0	611151.5064252531
25.0	618507.4612614489
26.0	626084.065127511
27.0	628458.1635021075
28.0	632113.2330928893
29.0	636481.0748530561
30.0	642131.1797013303
31.0	645428.2072570296
32.0	650247.4519366926
33.0	652942.9493776263
34.0	659354.6468214034
35.0	664869.8126738325
36.0	665665.7352806338
37.0	666110.3737518571
38.0	667040.0001478362
39.0	668987.5918496693
40.0	669594.7965908538
41.0	670236.4186947297
42.0	671195.5076415157
43.0	672177.0159283557
44.0	670922.4699782395
45.0	671496.8242817885
46.0	671030.4712476579
47.0	670431.5695405174
48.0	672204.2132618855
49.0	669455.3396024632
50.0	664993.3888653364
51.0	662269.5540187329
52.0	661515.9073698226
53.0	661360.8707968913
54.0	661798.0517301434
55.0	658200.9791580107
56.0	652554.6639539989
57.0	649352.6302962551
58.0	647952.5677272974
59.0	648006.204592708
60.0	650114.4175549273
61.0	650992.5868579324
62.0	651461.9686349413
63.0	651071.2197158185
64.0	648322.450101306
65.0	644090.413928231
66.0	639323.2380931084
67.0	636761.6005301498
68.0	635432.4406157823
69.0	633091.7714113599
70.0	632743.1640671062
71.0	632332.3678817649
72.0	631990.5964972837
73.0	630302.2460396648
74.0	625298.3217657799
75.0	620428.4437019413
76.0	615134.1417987753
77.0	609159.4808951998
78.0	604934.2689657687
79.0	601340.3434955337
80.0	599138.489979918
81.0	596574.2323237443
82.0	593004.0379049701
83.0	588217.2772040031
84.0	581775.3173213633
85.0	576241.7786456682
86.0	570442.9965950175
87.0	562155.7750058791
88.0	548903.4507293778
89.0	532767.2130563293
90.0	512921.9175905511
91.0	490062.2728890901
92.0	464411.516301027
93.0	434681.2307984022
94.0	400091.14623194654
95.0	353296.7995941547
96.0	290219.89620671334
97.0	214875.86484201453
98.0	130365.97529333147
99.0	40603.48578147231
