#Transcript position	Transcript coverage profile
0.0	23285.367177766475
1.0	25767.88288721639
2.0	38689.54758442408
3.0	42073.985001715075
4.0	45175.319261986086
5.0	44207.30791058338
6.0	41931.109698824046
7.0	40085.73414897688
8.0	41337.237379279904
9.0	42649.74779270143
10.0	43537.10771950392
11.0	50118.90614445685
12.0	56866.452295352035
13.0	61820.23518561963
14.0	64754.01773095043
15.0	65253.22423835815
16.0	67949.28239872088
17.0	72909.09105715349
18.0	75573.17447788289
19.0	76561.71180623055
20.0	76360.22117570032
21.0	76102.03939745111
22.0	77102.13330114834
23.0	80369.45447821301
24.0	84918.88567280296
25.0	87263.69383409934
26.0	85835.7886721157
27.0	84058.66848280493
28.0	83473.55345112001
29.0	82824.91162872512
30.0	84568.71299908114
31.0	88419.39410152829
32.0	92194.45147203667
33.0	93950.5927169086
34.0	96829.00768355945
35.0	96670.97816707235
36.0	95025.19632822221
37.0	95272.76568892502
38.0	92798.92698345195
39.0	93866.32427455125
40.0	96819.51950088378
41.0	97511.11884828328
42.0	97783.11630232279
43.0	97444.0615048955
44.0	96145.73855617405
45.0	95739.10035222977
46.0	97633.88172606466
47.0	99636.47254157551
48.0	102415.69215073841
49.0	102262.66014119744
50.0	100787.62336259034
51.0	99487.83835035424
52.0	97775.03367593535
53.0	96803.07237103856
54.0	95154.42805113646
55.0	92361.28873942197
56.0	89381.3485015868
57.0	86150.09158694798
58.0	85491.59100808782
59.0	84583.50001829727
60.0	85842.6936769358
61.0	86806.2527584334
62.0	87558.01350418308
63.0	89658.45032794203
64.0	88862.0765814939
65.0	84387.29656201693
66.0	81099.48487696859
67.0	80378.41532948225
68.0	82735.68831299218
69.0	84579.34310184691
70.0	85426.21735962649
71.0	86777.84527057646
72.0	87841.32973647113
73.0	88131.33967307965
74.0	84446.56447086766
75.0	80594.17949643522
76.0	75234.6940695331
77.0	69195.8120140985
78.0	66465.52818429208
79.0	67101.89803695728
80.0	66657.48839968655
81.0	67588.48402909854
82.0	68621.34504416681
83.0	71559.66686046311
84.0	75602.55558966433
85.0	76590.87920987202
86.0	75887.47808474021
87.0	74884.16017701029
88.0	73131.99746870193
89.0	70204.98646903929
90.0	66604.4712828404
91.0	63189.55795458127
92.0	57646.4587449387
93.0	51139.21943678679
94.0	46963.51399834909
95.0	39427.921931834564
96.0	27426.408924682873
97.0	19688.4773457049
98.0	13676.237354328274
99.0	4119.096010842105
