#Transcript position	Transcript coverage profile
0.0	166853.6364921771
1.0	164610.0037286431
2.0	178170.61970070683
3.0	196088.52476563945
4.0	218725.45244051798
5.0	240645.236363894
6.0	266000.56880910083
7.0	288838.9589964866
8.0	311928.63121326745
9.0	337395.01405071997
10.0	360831.49461643497
11.0	384350.57150716987
12.0	407124.0953227823
13.0	427102.2866450494
14.0	442043.93378866155
15.0	454904.8715648596
16.0	467699.5970715919
17.0	485544.46047134715
18.0	501280.9458803538
19.0	514187.31029744935
20.0	526758.9505495421
21.0	538138.4973961298
22.0	548010.3443435461
23.0	558723.4555653412
24.0	566546.8546045173
25.0	574643.2563672235
26.0	582984.81184114
27.0	586740.121846692
28.0	591056.2163921122
29.0	596332.4437571574
30.0	602633.023496179
31.0	607272.8413582697
32.0	611687.7064828179
33.0	614985.184152679
34.0	620907.0104451068
35.0	625751.3208544762
36.0	627583.8752067391
37.0	629213.7041319276
38.0	632046.276641229
39.0	636218.9841236045
40.0	641620.5661158833
41.0	645066.7247559279
42.0	647201.3920681282
43.0	648554.0387570254
44.0	648908.1667728301
45.0	650293.4828263865
46.0	650702.0970947468
47.0	651828.7916662652
48.0	655290.6426027205
49.0	654969.8365103864
50.0	652109.4440542753
51.0	651781.6999714471
52.0	652580.2068136234
53.0	652423.7094991353
54.0	653112.7893365456
55.0	649953.4282116405
56.0	645051.2660556391
57.0	641913.4940826775
58.0	640713.5515945831
59.0	641298.9569824355
60.0	643622.1826066936
61.0	645452.2976856042
62.0	647388.47048304
63.0	648273.8890605542
64.0	647954.8246517903
65.0	645984.9009085292
66.0	644217.7618974168
67.0	644717.8125062868
68.0	645750.7131676265
69.0	645386.0682751776
70.0	646708.698934373
71.0	647946.4000389776
72.0	649117.643422257
73.0	649002.7730702527
74.0	645657.0414730231
75.0	643178.6744527213
76.0	639863.5944183598
77.0	634041.905171173
78.0	630035.6298402312
79.0	626105.7266129724
80.0	624195.0118484306
81.0	622275.6644598788
82.0	619821.0387987376
83.0	616824.3053634324
84.0	610531.2754891972
85.0	604543.0403534246
86.0	598195.2495285382
87.0	589396.1339517289
88.0	577131.0153705357
89.0	562416.2457602198
90.0	544438.2065393428
91.0	520998.3658388489
92.0	493257.3443780837
93.0	459975.6514224474
94.0	419312.6530008358
95.0	365949.27270413213
96.0	295188.85067100986
97.0	214219.21012189455
98.0	127867.419436865
99.0	39668.98613629554
